"","unitid","year","fips","student_faculty_ratio"
"669",136491,2018,12,6
"670",136516,2018,12,24
"671",136659,2018,12,22
"672",136765,2018,12,24
"673",136774,2018,12,11
"674",136826,2018,12,18
"675",136950,2018,12,10
"676",137023,2018,12,10
"677",137032,2018,12,14
"678",137078,2018,12,24
"679",137087,2018,12,6
"680",137096,2018,12,19
"681",137120,2018,12,4
"682",137209,2018,12,27
"683",137245,2018,12,15
"684",137272,2018,12,4
"685",137281,2018,12,19
"686",137315,2018,12,17
"687",137351,2018,12,22
"688",137476,2018,12,12
"689",137546,2018,12,13
"690",137564,2018,12,18
"691",137591,2018,12,8
"692",137713,2018,12,7
"693",137759,2018,12,25
"694",137777,2018,12,3
"695",137801,2018,12,24
"696",137847,2018,12,17
"697",137856,2018,12,16
"698",137865,2018,12,17
"699",137953,2018,12,14
"700",137962,2018,12,10
"701",138132,2018,12,9
"702",138187,2018,12,24
"703",138275,2018,12,13
"704",138284,2018,12,10
"705",138293,2018,12,23
"706",138309,2018,12,13
"707",138354,2018,12,21
"708",138372,2018,12,10
"709",138479,2018,12,13
"710",138488,2018,12,8
"711",138497,2018,12,5
"712",138558,2018,13,18
"713",138600,2018,13,10
"714",138655,2018,13,23
"715",138664,2018,13,10
"716",138682,2018,13,15
"717",138716,2018,13,18
"718",138761,2018,13,9
"719",138813,2018,13,23
"720",138822,2018,13,20
"721",138840,2018,13,15
"722",138868,2018,13,17
"723",138901,2018,13,16
"724",138938,2018,13,20
"725",138947,2018,13,19
"726",138956,2018,13,16
"727",139144,2018,13,11
"728",139153,2018,13,6
"729",139199,2018,13,10
"730",139205,2018,13,15
"731",139214,2018,13,11
"732",139250,2018,13,19
"733",139278,2018,13,18
"734",139311,2018,13,19
"735",139357,2018,13,17
"736",139366,2018,13,16
"737",139384,2018,13,19
"738",139393,2018,13,13
"739",139463,2018,13,23
"740",139506,2018,13,15
"741",139579,2018,13,10
"742",139621,2018,13,26
"743",139630,2018,13,13
"744",139658,2018,13,9
"745",139700,2018,13,20
"746",139719,2018,13,17
"747",139746,2018,13,8
"748",139755,2018,13,18
"749",139764,2018,13,16
"750",139861,2018,13,17
"751",139931,2018,13,20
"752",139940,2018,13,23
"753",139959,2018,13,17
"754",139968,2018,13,20
"755",139986,2018,13,16
"756",139995,2018,13,35
"757",140003,2018,13,15
"758",140012,2018,13,21
"759",140234,2018,13,11
"760",140243,2018,13,14
"761",140252,2018,13,15
"762",140331,2018,13,22
"763",140340,2018,13,14
"764",140447,2018,13,13
"765",140553,2018,13,14
"766",140678,2018,13,15
"767",140696,2018,13,15
"768",140720,2018,13,10
"769",140818,2018,13,10
"770",140827,2018,13,9
"771",140872,2018,13,13
"772",140942,2018,13,16
"773",140951,2018,13,21
"774",140960,2018,13,17
"775",140988,2018,13,14
"776",141006,2018,13,17
"777",141015,2018,13,6
"778",141060,2018,13,11
"779",141167,2018,13,10
"780",141185,2018,13,14
"781",141237,2018,13,20
"782",141255,2018,13,14
"783",141264,2018,13,19
"784",141325,2018,13,8
"785",141334,2018,13,19
"786",141361,2018,13,11
"787",141486,2018,15,11
"788",141565,2018,15,12
"789",141574,2018,15,12
"790",141608,2018,15,19
"791",141644,2018,15,15
"792",141680,2018,15,15
"793",141796,2018,15,17
"794",141802,2018,15,11
"795",141811,2018,15,20
"796",141839,2018,15,14
"797",141945,2018,15,8
"798",141981,2018,15,18
"799",141990,2018,15,18
"800",142054,2018,16,15
"801",142090,2018,16,12
"802",142115,2018,16,17
"803",142179,2018,16,10
"804",142276,2018,16,13
"805",142285,2018,16,15
"806",142294,2018,16,10
"807",142328,2018,16,12
"808",142407,2018,16,10
"809",142416,2018,16,20
"810",142443,2018,16,13
"811",142461,2018,16,16
"812",142489,2018,16,9
"813",142522,2018,16,22
"814",142559,2018,16,19
"815",142887,2018,17,9
"816",142957,2018,17,2
"817",143048,2018,17,11
"818",143084,2018,17,12
"819",143118,2018,17,19
"820",143181,2018,17,10
"821",143215,2018,17,18
"822",143279,2018,17,18
"823",143288,2018,17,11
"824",143297,2018,17,10
"825",143303,2018,17,4
"826",143358,2018,17,12
"827",143376,2018,17,12
"828",143464,2018,17,8
"829",143473,2018,17,22
"830",143482,2018,17,11
"831",143491,2018,17,12
"832",143543,2018,17,12
"833",143552,2018,17,7
"834",143613,2018,17,14
"835",143695,2018,17,3
"836",144005,2018,17,7
"837",144050,2018,17,5
"838",144157,2018,17,20
"839",144166,2018,17,25
"840",144175,2018,17,22
"841",144184,2018,17,30
"842",144193,2018,17,36
"843",144209,2018,17,29
